MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,lado 
1138,TRY,RISARALDA,6,TACTICA,BUENO,NO,
1150,CONVERSIÓN,RISARALDA,4,TECNICA,BUENO,NO,
1121,KICK-OFF,RISARALDA,4,TACTICA,BUENO,SI,D
1210,TRY,RISARALDA,7,FISICO ,BUENO,NO,
1213,KICK-OFF,RISARALDA,4,TACTICA,BUENO,SI,I
1240,ERROR DE MANOS ,RISARALDA,6,TECNICA,MALO ,NO,
1253,VUELTA,META,6,TACTICA,REGULAR,NO,
1311,COMPLETA ,META,6,DESICION ,BUENO,NO,
1333,COMPLETA ,META,7,TACTICA,BUENO,SI,
1341,VUELTA,META,7,DESICION ,BUENO,NO,
1342,PENAL AMARILLA ,RISARALDA,7,FISICO ,MALO ,SI,
1340,JUEGO RAPIDO ,META,6,TACTICA,REGULAR,NO,
1353,ERROR DE MANOS ,META,5,FISICO ,MALO ,NO,
1358,ERROR DE MANOS ,META,6,DESICION ,MALO ,NO,
1400,PENAL,META,6,TECNICA,MALO ,SI,
1400,SCRUM,RISARALDA,4,DESICION ,BUENO,NO,
,,,,,,,
,,,,,,,
MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,
1,KICK-OFF,NORTE,2,TACTICA,REGULAR,SI,I
2,PENAL AMARILLA ,NORTE,6,REGLAMENTO,MALO ,NO,
4,JUEGO RAPIDO ,GUAJIRA,5,TACTICA,REGULAR,NO,
10,COMPLETA ,GUAJIRA,7,TACTICA,BUENO,NO,
28,VUELTA,GUAJIRA,6,TACTICA,BUENO,NO,
50,PENAL,GUAJIRA,6,REGLAMENTO,REGULAR,SI,
58,LINE OUT,NORTE,4,DESICION ,BUENO,NO,
145,PENAL,NORTE,4,REGLAMENTO,BUENO,SI,
148,JUEGO RAPIDO ,GUAJIRA,4,DESICION ,BUENO,NO,
159,ERROR TACTICO,GUAJIRA,6,TACTICA,MALO ,NO,
207,PENAL,GUAJIRA,7,REGLAMENTO,MALO ,NO,
211,JUEGO AL PIE ,NORTE,4,DESICION ,MALO ,NO,
250,COMPLETA ,GUAJIRA,7,TACTICA,BUENO,SI,
259,TRY,GUAJIRA,7,TACTICA,BUENO,NA,
310,CONVERSIÓN,GUAJIRA,4,TECNICA,MALO ,SI,
330,KICK-OFF,GUAJIRA,1,TECNICA,BUENO,SI,D
415,ERROR TACTICO,NORTE,4,TACTICA,MALO ,NO,
422,JUEGO CON EL PIE ,NORTE,5,TACTICA,REGULAR,SI,
440,KNOCK-ON,GUAJIRA,4,TECNICA,MALO ,SI,
450,SCRUM,NORTE,1,REGLAMENTO,MALO ,SI,
520,PASS-FORWARD,GUAJIRA,1,REGLAMENTO,REGULAR,NA,
522,JUEGO RAPIDO ,GUAJIRA,6,TACTICA,REGULAR,NO,
523,VUELTA,GUAJIRA,7,TACTICA,REGULAR,SI,
