MINUTO ,ACCION,EQUIPO,#,OBSERVACION,EJECUCION ,FORZADO ,
135,PENAL AMARILLA ,ANTIOQUIA,6,REGLAMENTO,MALO ,NO,
150,JUEGO RAPIDO ,RISARALDA,4,TACTICA,REGULAR,NO,
156,PENAL,RISARALDA,6,TACTICA,MALO ,NO,
156,JUEGO RAPIDO ,ANTIOQUIA,4,TACTICA,BUENO,NO,
203,COMPLETA ,ANTIOQUIA,7,TACTICA,REGULAR,NO,
216,TRY,ANTIOQUIA,4,FISICO ,BUENO,NO,
230,CONVERSION,ANTIOQUIA,7,TECNICA,BUENO,NO,
241,KICK-OFF,ANTIOQUIA,4,TECNICA,BUENO,NO,
317,TRY,ANTIOQUIA,5,TACTICA,BUENO,SI,
323,CONVERSION,ANTIOQUIA,4,TECNICA,MALO ,SI,
345,KICK-OFF,ANTIOQUIA,2,TECNICA,BUENO,NO,
